name,listingDate,currentPrice,changeFromPreviousDay,offeringPrice,changeRateFromOfferingPrice,openingPrice,openingPriceToOfferingPrice,closingPriceOnFirstDay
아이스크림미디어(구.시공미디어),2024/08/30,-,%,"32,000",-%,-,%,예정
이엔셀,2024/08/23,-,%,"15,300",-%,-,%,예정
오에스피,2022/10/14,"3,650",-1.35%,"8,400",-56.55%,"10,850",29.17%,"10,050"
이노룰스,2022/10/07,"6,230",-0.32%,"12,500",-50.16%,"13,150",5.2%,"15,850"
모델솔루션,2022/10/07,"10,690",-0.56%,"27,000",-60.41%,"29,500",9.26%,"30,900"
유안타스팩10호,2022/10/06,"2,160",0.00%,"2,000",8%,"2,050",2.5%,"2,065"
SK증권스팩8호,2022/10/06,"2,135",0.00%,"2,000",6.75%,"2,120",6%,"2,140"
KB스타리츠(유가),2022/10/06,"4,345",0.35%,"5,000",-13.1%,"4,500",-10%,"4,340"
선바이오,2022/10/05,"7,670",0.00%,"11,000",-30.27%,"12,050",9.55%,"10,600"
더블유씨피,2022/09/30,"21,200",1.44%,"60,000",-64.67%,"54,000",-10%,"41,700"
하나금융스팩24호,2022/09/29,"1,762",0.00%,"2,000",-11.9%,"2,085",4.25%,"2,080"
알피바이오,2022/09/29,"7,300",-1.75%,"13,000",-43.85%,"19,300",48.46%,"18,300"
한화플러스스팩3호,2022/09/29,"2,215",0.00%,"2,000",10.75%,"2,110",5.5%,"2,125"
오픈엣지테크놀로지,2022/09/26,"16,000",-3.03%,"10,000",60%,"10,800",8%,"10,050"
KB스팩22호,2022/09/22,"4,760",0.00%,"2,000",138%,"2,105",5.25%,"2,110"
하나금융스팩23호,2022/09/15,"5,700",0.00%,"2,000",185%,"2,120",6%,"2,110"
키움스팩7호,2022/09/07,"2,460",0.00%,"2,000",23%,"2,110",5.5%,"2,120"
IBKS스팩19호,2022/08/26,"6,300",0.00%,"2,000",215%,"2,095",4.75%,"2,095"
신영스팩8호,2022/08/26,"2,270",-0.44%,"2,000",13.5%,"2,105",5.25%,"2,105"
대성하이텍,2022/08/22,"4,360",-2.46%,"9,000",-51.56%,"13,000",44.44%,"14,600"
쏘카(유가),2022/08/22,"18,840",-0.16%,"28,000",-32.71%,"28,000",0%,"26,300"
에이치와이티씨,2022/08/09,"5,170",0.58%,"15,000",-65.53%,"14,700",-2%,"15,850"
유안타스팩9호,2022/08/04,"2,160",0.23%,"2,000",8%,"2,090",4.5%,"2,090"
새빗켐,2022/08/04,"27,000",0.19%,"35,000",-22.86%,"70,000",100%,"72,500"
수산인더스트리(유가),2022/08/01,"23,300",6.39%,"35,000",-33.43%,"33,000",-5.71%,"32,500"
신한스팩10호,2022/07/29,"2,390",1.70%,"2,000",19.5%,"2,150",7.5%,"2,145"
아이씨에이치,2022/07/29,"4,010",-1.35%,"34,000",-88.21%,"30,600",-10%,"27,000"
성일하이텍,2022/07/28,"54,900",1.10%,"50,000",9.8%,"99,900",99.8%,"88,200"
에이프릴바이오,2022/07/28,"19,840",-3.22%,"16,000",24%,"19,500",21.88%,"21,850"
